Name,Content Set,Type,Solutions,Description
This sensor is part of the Core AD Query Content solution. It will only return data after the Collect Active Directory Info package has completed an inventory.,,,,
AD Query - Local User Account Control Flags,Core AD Query Content,Sensor,Tanium Core ADQuery Content,Parses the UserFlags attribute of local user accounts to report the following account control flags:
account disabled,,,,
allow encrypted password,,,,
expire password,,,,
has logon script,,,,
password expired,,,,
password required,,,,
smartcard required,,,,
user can change password,,,,
,,,,
The sensor's default behavior checks the Well Known Name of users. Prefacing the User input with 'name:' will cause the sensor to search the non-translated name.,,,,
,,,,
Input 'all' into the Users field to return the account control value from all inventoried users.,,,,
,,,,
This sensor is part of the Core AD Query Content solution. It will only return data after the Collect Active Directory Info package has completed an inventory.,,,,
AD Query - Local Users,Core AD Query Content,Sensor,Tanium Core ADQuery Content,Listing of all local users.
,,,,
The sensor returns the Well Known Name of local users.,,,,
,,,,
This sensor is part of the Core AD Query Content solution. It will only return data after the Collect Active Directory Info package has completed an inventory.,,,,
AD Query - Logged In User Details,Core AD Query Content,Sensor,Tanium Core ADQuery Content,"The following Active Directory attributes of the logged-in user: name (cn or name), department, co (country), city (l), email (mail), and telephoneNumber."
,,,,
This sensor is part of the Core AD Query Content solution. It will only return data after the Collect Active Directory Info package has completed an inventory.,,,,
AD Query - Logged In User Group Memberships,Core AD Query Content,Sensor,Tanium Core ADQuery Content,All group memberships the logged in user is a member of -both explicitly and implicitly. Nested groups are also returned. The group is returned in NT format (SomeDomain\SomeGroup).
,,,,
The sensor returns the group's Well Known Name.,,,,
,,,,
This sensor is part of the Core AD Query Content solution. It will only return data after the Collect Active Directory Info package has completed an inventory.,,,,
AD Query - Logged In User Groups,Core AD Query Content,Sensor,Tanium Core ADQuery Content,"The distinguishedName of any Active Directory groups the user is explicitly a member of (no nested groups). Also returns the user's Primary Group. The group is returned from the memberOf attribute and is in RFC 1779 format (CN=TestGroup,OU=Sales,DC=MyDomain,DC=com)."
,,,,
This sensor is part of the Core AD Query Content solution. It will only return data after the Collect Active Directory Info package has completed an inventory.,,,,
AD Query - Mismatched Site Names,Core AD Query Content,Sensor,Tanium Core ADQuery Content,Determines if there is an Active Directory Site Name mis-match between the computer and the Domain Controller responding to queries.
,,,,
This sensor is part of the Core AD Query Content solution. It will only return data after the Collect Active Directory Info package has completed an inventory.,,,,
AD Query - Primary User,Core AD Query Content,Sensor,Tanium Core ADQuery Content,The computer's primary user
,,,,
The sensor returns the Well Known Name of the primary user.,,,,
,,,,
This sensor is part of the Core AD Query Content solution. It will only return data after the Collect Active Directory Info package has completed an inventory.,,,,
AD Query - Primary User Details,Core AD Query Content,Sensor,Tanium Core ADQuery Content,"The following Active Directory attributes of the primary user: name (cn or name), department, co (country), city (l), email (mail), and telephoneNumber."
,,,,
This sensor is part of the Core AD Query Content solution. It will only return data after the Collect Active Directory Info package has completed an inventory.,,,,
AD Query - Primary User Email Addresses,Core AD Query Content,Sensor,Tanium Core ADQuery Content,Gets the email addresses of the primary user from the mail and ProxyAddresses Active Directory attributes.
,,,,
This sensor is part of the Core AD Query Content solution. It will only return data after the Collect Active Directory Info package has completed an inventory.,,,,
AD Query - Primary User Group Memberships,Core AD Query Content,Sensor,Tanium Core ADQuery Content,All groups the primary user of the computer is a member of -both explicitly and implicitly. Nested groups are also returned. The group is returned in NT format (SomeDomain\SomeGroup).
,,,,
The sensor returns the group's Well Known Name.,,,,
,,,,
This sensor is part of the Core AD Query Content solution. It will only return data after the Collect Active Directory Info package has completed an inventory.,,,,
AD Query - Primary User Groups,Core AD Query Content,Sensor,Tanium Core ADQuery Content,"The distinguishedName of Active Directory group memberships for the computer's primary user. The groups returned are those which the user is explicitly a member of (no nested groups). Also returns the user's Primary Group. The group is returned from the memberOf attribute and is in RFC 1779 format (CN=TestGroup,OU=Sales,DC=MyDomain,DC=com)."
,,,,
This sensor is part of the Core AD Query Content solution. It will only return data after the Collect Active Directory Info package has completed an inventory.,,,,
AD Query - Primary User Has Group Membership,Core AD Query Content,Sensor,Tanium Core ADQuery Content,Searches Primary User group inventory for membership.
Returns True if the user is a member of the group.,,,,
Returns False if no match was found.,,,,
,,,,
The default comparison is performed on the group's Well Known Name.,,,,
This may be overridden by prefacing the Groups input with 'name:' - causing a compare to be performed on the group's non-translated name.,,,,
,,,,
The group may be a local group or an Active Directory group.,,,,
The group name may be specified as groupname or domain\groupname syntax.,,,,
"Multiple groups may be specified if separated by a comma. Ex: groupname,corp\groupname",,,,
,,,,
RegEx based comparisons are also supported.,,,,
Prefacing the Groups input with 'regex:' will cause a RegEx compare to be performed.,,,,
Ex: regex:name:domain.* (compare the Name attribute for a match on the provided regex),,,,
Ex: regex:domain.* (compare the Well Known Name attribute for a match on the provided regex),,,,
,,,,
This sensor is part of the Core AD Query Content solution. It will only return data after the Collect Active Directory Info package has completed an inventory.,,,,
AD Query - User Attribute Inventory,Core AD Query Content,Sensor,Tanium Core ADQuery Content,"Returns the user name, the name of inventoried attributes and their value."
,,,,
Input 'all' in the User field to return the attribute value for all inventoried users.,,,,
Input 'Primary' in the User field to return the attribute value for the primary user.,,,,
Input 'Current' in the User field to return the attribute value for all current user.,,,,
,,,,
The user may be a local account or an Active Directory account.,,,,
The attribute may be a local attribute or Active Directory attribute.,,,,
,,,,
The sensor's default behavior searches the user's Well Known Name. Prefacing the User input with 'name:' will cause the sensor to search the non-translated name.,,,,
,,,,
This sensor is part of the Core AD Query Content solution. It will only return data after the Collect Active Directory Info package has completed an inventory.,,,,
AD Query - User Attributes,Core AD Query Content,Sensor,Tanium Core ADQuery Content,Returns the value of the attribute for the user.
,,,,
The user may be a local account or an Active Directory account.,,,,
The attribute may be a local or Active Directory attribute.,,,,
,,,,
Input 'all' in the User field to return the attribute value for all inventoried users.,,,,
,,,,
The default comparison is performed on the user's Well Known Name.,,,,
This may be overridden by prefacing the User input with 'name:' - causing a compare to be performed on the user's non-translated name.,,,,
The user name may be specified as username or domain\username syntax.,,,,
"Multiple users may be specified if separated by a comma. Ex: username,corp\username",,,,
,,,,
RegEx based comparisons are also supported.,,,,
Prefacing the User input with 'regex:' will cause a RegEx compare to be performed.,,,,
Ex: regex:name:username.* (compare the Name attribute for a match on the provided regex),,,,
Ex: regex:username.* (compare the Well Known Name attribute for a match on the provided regex),,,,
,,,,
This sensor is part of the Core AD Query Content solution. It will only return data after the Collect Active Directory Info package has completed an inventory.,,,,
AD Query - User Group Memberships,Core AD Query Content,Sensor,Tanium Core ADQuery Content,All group memberships the specified user is a member of -both explicitly and implicitly. Nested groups are also returned. The result is returned in NT format as UserDomain\UserName|GroupDomain\GroupName.
,,,,
The sensor's default behavior checks the Well Known Name of users and returns the Well Known Name of any groups the user is a member of. Prefacing the User input with 'name:' will cause the sensor to search the non-translated name.,,,,
,,,,
"User names may be specified as username, domain\username.",,,,
"Multiple users may be specified if separated by a comma. Ex: user,Local\user,corp\user,.\user",,,,
Input 'all' into the Users field to return group membership of all inventoried users.,,,,
,,,,
This sensor is part of the Core AD Query Content solution. It will only return data after the Collect Active Directory Info package has completed an inventory.,,,,
AD Query - User Has Group Membership,Core AD Query Content,Sensor,Tanium Core ADQuery Content,Searches user group inventory for membership.
Returns True if the user is a member of the group.,,,,
Returns False if no match was found.,,,,
,,,,
The default comparison is performed on the user's and group's Well Known Name.,,,,
This may be overridden by prefacing the Users or Groups input with 'name:' - causing a compare to be performed on the non-translated name.,,,,
,,,,
The user may be a local account or an Active Directory account.,,,,
The user may be specified as username and domain\username syntax.,,,,
,,,,
Input 'any' in the Users field to test any inventoried user for membership.,,,,
"Multiple users may be specified when separated by a comma. Ex: user,Local\localuser,corp\user,.\user",,,,
,,,,
The group may be a local group or an Active Directory group.,,,,
The group may be specified as groupname and domain\groupname syntax.,,,,
,,,,
"Multiple groups may be specified if separated by a comma. Ex: group,Local\group,corp\group,.\group",,,,
,,,,
RegEx based comparisons are also supported.,,,,
Prefacing the Users or Groups input with 'regex:' will cause a RegEx compare to be performed.,,,,
Ex: regex:name:somename.* (compare the Name attribute for a match on the provided regex),,,,
Ex: regex:somename.* (compare the Well Known Name attribute for a match on the provided regex),,,,
,,,,
This sensor is part of the Core AD Query Content solution. It will only return data after the Collect Active Directory Info package has completed an inventory.,,,,
AD Short Domain,Core Content,Sensor,Tanium Core Content,"Returns the short, NetBIOS name of a machine's domain."
Example: CORP,,,,
AnyConnect VPN Status,Core Content,Sensor,Tanium Core Content,Returns the status of the AnyConnect Network Connect VPN Adapter
Applicable Patches,Patch Service Objects,Sensor,Tanium Patch,Returns a row for every applicable patch on an endpoint
,,,,
Example: a5aa3417baf0e1e0672dd70abacee6ea|MSXML 6.0 RTM Security Update (925673)|Not Installed|True|Critical|4/4/2012|MS06-061|1853208|07609d43-d518-4e77-856e-d1b316d1b8a8|KB925673|CVE-2006-4686 CVE-2006-4685|http://www.download.windowsupdate.com/msdownload/update/v3-19990518/cabpool/msxml6-kb925673-enu-amd64_cc347d98b9fe1e417cb73f0ddf004d1f94a4bfcf.exe|msxml6-kb925673-enu-amd64_cc347d98b9fe1e417cb73f0ddf004d1f94a4bfcf.exe|False|Windows|Windows Server 2012 R2|Security Updates,,,,
Application Crashes in Last X Days,Core Content,Sensor,Tanium Core Content,A parameterized Sensor that queries for any processes that have crashed in the last X days.
Example: chrome.exe,,,,
Application Crashes Yesterday,Core Content,Sensor,Tanium Core Content,"A multi-column Sensor that shows processes that have crashed yesterday, including the instance number to capture multiple crashes by the same process."
Example: firefox.exe | 3,,,,
AppLocker - Application Control Enabled,Core Content,Sensor,Tanium Core Content,Returns True for Windows endpoints with any AppLocker Policy configured and running Application Identity Service
ARP Cache,Incident Response,Sensor,Tanium Threat Response,"Returns the current arp cache values, and whether the values are static or dynamic."
Example: 172.16.173.1|00-50-56-c0-00-08|dynamic,,,,
Asset Display Adapter Count,Asset,Sensor,Tanium Asset,Returns the number of Display Adapters on the endpoint.
Example: 2,,,,
Asset File Evidence,Asset,Sensor,Tanium Asset,Returns file evidence
Asset Installed Applications,Asset,Sensor,Tanium Asset,List of the applications and versions of those applications installed on the client machine.
Example: Mozilla|Mozilla Firefox|16.0.1|Uninstall|Local,,,,
Asset Installed Applications Uninstall String Tally,Asset,Sensor,Tanium Asset,Count of installed applications with and without an uninstall string.
Asset Installed Applications with CPE,Asset,Sensor,Tanium Asset,List of the applications and versions of those applications installed on the client machine.
Example: Mozilla|Mozilla_Firefox|16.0.1|Uninstall|Local|cpe:2.3:a:centos:mariadb:libs:5.5.64:::::::*,,,,
Asset MS Exchange Server Details,Asset,Sensor,Tanium Asset,Returns MS Exchange Server Instance Details
Asset Network Adapter,Asset,Sensor,Tanium Asset,
Asset Number of CPU Sockets,Asset,Sensor,Tanium Asset,Returns the number of cpu sockets in the system.
Example:4,,,,
Asset OS Version,Asset,Sensor,Tanium Asset,
Asset Primary User Details,Asset,Sensor,Tanium Asset,Returns details for the primary user.
Asset SIU - Installed Product Usage Details,Asset,Sensor,Tanium Asset,Lists the usage information of installed products
Asset SIU Installed Products,Asset,Sensor,Tanium Asset,Lists the installed products found on the endpoint.
Asset SIU Product Usage,Asset,Sensor,Tanium Asset,Lists usage of tracked products on the endpoint.
Asset SQL Server Details,Asset,Sensor,Tanium Asset,Returns SQL Server Instance Details
,,,,
Example:,,,,
Standard Edition|RTM-GDR|13.0.1742.0|Microsoft SQL Server 2016 (RTM-GDR)|MSSQLSERVER,,,,
Asset Windows Installer Applications,Asset,Sensor,Tanium Asset,Returns Windows Installer stored information about installed applications for Asset module.
,,,,
Example:,,,,
Microsoft Corporation|SQL Server 2012 Management Studio|11.0.2100.60|{26BFF1F1-5C03-4C55-9C7C-FD65889AFA70}|msi|local,,,,
Asset: AWS Account ID,Asset,Virtual Sensor,Asset,Asset: AWS Account ID
Asset: AWS Account Name,Asset,Virtual Sensor,Asset,Asset: AWS Account Name
Asset: Cloud Reconciliation Source ID,Asset,Virtual Sensor,Asset,Asset: Cloud Reconciliation Source ID
Asset: Image ID,Asset,Virtual Sensor,Asset,Asset: Image ID
Asset: ImportApi Reconciliation Source ID,Asset,Virtual Sensor,Asset,Asset: ImportApi Reconciliation Source ID
Asset: Instance State,Asset,Virtual Sensor,Asset,Asset: Instance State
Asset: Instance Type,Asset,Virtual Sensor,Asset,Asset: Instance Type
Asset: Zone,Asset,Virtual Sensor,Asset,Asset: Zone
Attached Battery,Core Content,Sensor,Tanium Core Content,"Device name for any attached batteries for a machine, commonly found in laptops."
Example: DELL V57XN24,,,,
Audio Controller,Core Content,Sensor,Tanium Core Content,Description of the onboard audio controller for the computer.
Example: Intel(R) High Definition Audio Controller,,,,
Auditd Reload Required,Core Content,Sensor,Tanium Core Content,"The sensor uses augenrules --check to determine if auditd needs a reload for new rule configurations. It returns ""True"" if a reload is needed, and ""False"" if not. Note: This sensor only compares the rules files in the 'rules.d' directory with the combined 'audit.rules' file. It does not check the rules that are currently active in the kernel against the 'audit.rules' file."
,,,,
Example: True,,,,
Authenticated Root Volume Status,Core Content,Sensor,Tanium Core Content,Returns True/False based on the output of csrutil authenticated-root status. MacOS only.
Automate - Ring Deployment Progression Data,Automate Ring Deployments,Sensor,Tanium Automate,Collect progression data for Immediate Status and Extended Status for Ring-based ECF Item deployments in AEM. This sensor is not meant for general consumption and is used by the Automate service.
AutoRun Files,Incident Response,Sensor,Tanium Threat Response,"Returns a subset of the AutoRuns data, specifically the name of each AutoRun file and the cryptographic hash of the file (e.g. MD5, SHA256). Note: This sensor uses cached data; this cached data can be regenerated with the ""Incident Response - Generate Autorun Cache [Windows]"" package."
AutoRun Program Details,Incident Response,Sensor,Tanium Threat Response,"Retrieves information about the Autorun applications found in the Windows Registry. Note: This sensor uses cached data; this cached data can be regenerated with the ""Incident Response - Generate Autorun Cache [Windows]"" package."
Autoruns by Category,Incident Response,Sensor,Tanium Threat Response,"Retrieves Autorun data for the enabled auto-start extension points (ASEPs). Use parameters to specify the category and hash for each ASEP. Note: This sensor uses cached data; this cached data can be regenerated with the ""Incident Response - Generate Autorun Cache [Windows]"" package."
Average Alerts Benchmark Metric,Benchmark,Virtual Sensor,Benchmark,Average Alerts Data
Battery Details,Core Content,Sensor,Tanium Core Content,Get battery health from machines with batteries installed.
Benchmark - Certificate Audit Port Exclusions,Benchmark,Sensor,Tanium Benchmark,Returns exclusions applied to a particular endpoint; It is possible to configure a particular endpoint to exclude specific ports from the audit scan if the target application is too fragile to scan.
,,,,
"Example: 443,8443",,,,
BIOS Current Language,Core Content,Sensor,Tanium Core Content,Currently configured language for the BIOS.
Example: en|US|iso8859-1,,,,
BIOS Details,Core Content,Sensor,Tanium Core Content,"General BIOS information (Manufacturer, Caption, Version, and Release Date)."
"Example: Dell Inc.|1.13.0|1.13.0|Wed, 10 Jul 2024 20:00:00 -0240",,,,
BIOS Name,Core Content,Sensor,Tanium Core Content,Name of BIOS.
Example: Phoenix ROM BIOS PLUS Version 1.10 A10,,,,
BIOS Release Date,Core Content,Sensor,Tanium Core Content,Release date of the BIOS.
Example: 2008-12-25,,,,
BIOS Vendor,Core Content,Sensor,Tanium Core Content,Manufacturer or vendor of the BIOS.
"Example: Dell, Inc.",,,,
BIOS Version,Core Content,Sensor,Tanium Core Content,Version of the BIOS.
Example: A11,,,,
BitLocker Details,Core Content,Sensor,Tanium Core Content,Returns information on the BitLocker status of a machine.
Example: Drive | Device ID | Encryption Method,,,,
Bluetooth MAC Address,Core Content,Sensor,Tanium Core Content,Returns the MAC address of the system's Bluetooth Controller.
,,,,
Example: 88:66:5A:11:EE:13.,,,,
Boot Device,Core Content,Sensor,Tanium Core Content,Hard disk device that the operating system uses to boot from.
Example: \Device\HarddiskVolume1,,,,
Boot Time,Core Content,Sensor,Tanium Core Content,"The amount of time, in seconds, that the last boot of this machine took."
Example: 100,,,,
Bootstrap Token Status,Core Content,Sensor,Tanium Core Content,Return Bootstrap Token details for Mac endpoints.
Example: Supported|Escrowed,,,,
CD-ROM Drive,Core Content,Sensor,Tanium Core Content,Name of any installed CD-ROM or DVD-ROM drives.
Example: SONY DVD-ROM DDU1615 ATA Device,,,,
CD-ROM Drive Loaded,Core Content,Sensor,Tanium Core Content,Checks if CD-ROM/DVD-ROM drive is loaded.
Example: True or False,,,,
Certificate Audit Age,Certificate Manager,Sensor,Tanium Certificate Manager,Returns age of the audit data in days.
,,,,
Example: 12,,,,
Certificate Audit Port Exclusions,Certificate Manager,Sensor,Tanium Certificate Manager,Returns exclusions applied to a particular endpoint; It is possible to configure a particular endpoint to exclude specific ports from the audit scan if the target application is too fragile to scan.
,,,,
"Example: 443,8443",,,,
Certificate Audit Status,Certificate Manager,Sensor,Tanium Certificate Manager,Reports on basic configuration and audit execution of the Certificate Audit package.
Certificate Details,Certificate Manager,Sensor,Tanium Certificate Manager,"Returns Source, Location, Subject, Issuer, Not Before, Not After, Expiration Status, Public Key Algorithm, Public Key Bit Size, Signature Algorithm, Signature Hash Algorithm, and Subject Alternative Name for all scanned Certificates."
,,,,
"Example: CertStore~Root~Organizational Unit: Class 3 Public Primary Certification Authority~Organization: VeriSign, Inc.~1996-01-29~2028-08-01~Expiring in over a year~rsa~1024~rsassa_pkcs1v15~md2~None",,,,
,,,,
Not Before and Not After timestamps are in UTC.,,,,
Certificate Duration,Certificate Manager,Sensor,Tanium Certificate Manager,"Returns Certificate Source, Location, Expiration Status, and Days Until Expiration."
,,,,
Example: Listen Port~443~Expired~0,,,,
Certificate Expiry,Certificate Manager,Sensor,Tanium Certificate Manager,"Returns Certificate Source, Location, Expiration Status, and Days Until Expiration."
,,,,
Example: Listen Port~443~Expired~0,,,,
Certificate Manager - Coverage Status Details,Certificate Manager,Sensor,Tanium Certificate Manager,"Details of Certificate Manager tools on endpoints. Shows whether the Certificate Manager tools are working correctly, in a sub-optimal state, or not functioning at all. Additionally, the sensor surfaces details of why the endpoint needs attention."
Certificate Manager - Replacements,Certificate Manager,Sensor,Tanium Certificate Manager,"Returns the job ID, status and expiration time of staged certificate replacement jobs."
Certificate Manager - SSL Certificate CA Short Name,Certificate Manager,Sensor,Tanium Certificate Manager,"Returns a shortened Certificate Authority name used by Tanium Benchmark. This sensor returns Organization Name if it exists, else it returns the Common Name."
Certificate Manager - SSL Certificate Cipher Suite Details,Certificate Manager,Sensor,Tanium Certificate Manager,Returns the SSL Protocol and available cipher suites available on each port.
Example:TLS1.2~TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256~deflate~false~8089~httpd~Apache HTTPD~True,,,,
Certificate Manager - SSL Certificate Details,Certificate Manager,Sensor,Tanium Certificate Manager,"Returns Port, Not Before, Not After, Public Key Algorithm, Public Key Bit Size, Signature Algorithm, Signature Hash Algorithm, Subject, Issuer, Authorization Status, Root Authority Subject Name, Root Authority Subject Key Identifier, Serial Number, SHA1 Fingerprint for all SSL/TLS Certificates."
,,,,
"Example: 17500,2022-08-31,2027-08-30,rsa,2048,rsassa_pkcs1v15,sha256,Common Name: Win2019SQL,Common Name: Win2019SQL,Self Signed,None,None,6abcc674c081175e53,3092f464401549c25902dcce5a5ed9e39a4fc0c8",,,,
,,,,
Not Before and Not After timestamps are in UTC.,,,,
Certificate Manager - SSL Certificate Expiration,Certificate Manager,Sensor,Tanium Certificate Manager,Returns bucketed number of days until certificate expires.
"Example: 443,91-180",,,,
Certificate Manager - SSL Certificate Process Details,Certificate Manager,Sensor,Tanium Certificate Manager,"Returns Port, Not Before, Not After, Subject, Issuer, Authorization Status, Root Authority Subject Name, Root Authority Subject Key Identifier, Owning Process, Owning Process Description for all SSL Certificates."
,,,,
"Example: 631,2022-06-17,2032-06-14,Locality: Unknown, State/Province: Unknown, Organizational Unit: Unknown, Organization: cx-centos83-consolidated, Common Name: cx-centos83-consolidated, Country: US,Locality: Unknown, State/Province: Unknown, Organizational Unit: Unknown, Organization: cx-centos83-consolidated, Common Name: cx-centos83-consolidated, Country: US,self signed,None,None,cupsd,cupsd",,,,
Certificate Manager - SSL Certificate Subject,Certificate Manager,Sensor,Tanium Certificate Manager,Returns the subject field of the certificate in use on the port given as a parameter.
,,,,
Example: Common Name: www.tanium.com,,,,
Certificate Manager - SSL Extended Key Usage,Certificate Manager,Sensor,Tanium Certificate Manager,Returns the Extended Key Usage field for SSL/TLS Certificates.
,,,,
"Example: 443~server_auth,client_auth",,,,
Certificate Manager - SSL Key Usage,Certificate Manager,Sensor,Tanium Certificate Manager,Returns the key usage fields for the certificate.
,,,,
"Example: 443~digital_signature,key_encipherment,key_cert_sign",,,,
Certificate Manager - SSL Server Key Exchange,Certificate Manager,Sensor,Tanium Certificate Manager,Returns the Key Exchange parameters for each port in use.
,,,,
Example: TLS1.2~TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA~520~443~True,,,,
Certificate Manager - SSL Server Root Certificate Authority,Certificate Manager,Sensor,Tanium Certificate Manager,Returns Port and Subject Key Identifier for all SSL/TLS Certificates.
,,,,
"Example: 3389, self signed",,,,
