"File","RuleName","Severity","Message","Line","Column"
"aither-core/modules/PatchManager/PatchManager.psm1","PSUseOutputTypeCorrectly","Information","The cmdlet 'Test-ShouldCreatePR' returns an object of type 'System.Boolean' but this type is not declared in the OutputType attribute.","129","5"
"aither-core/modules/PatchManager/PatchManager.psm1","PSUseOutputTypeCorrectly","Information","The cmdlet 'Test-SimilarPRExists' returns an object of type 'System.Boolean' but this type is not declared in the OutputType attribute.","158","21"
"aither-core/modules/PatchManager/PatchManager.psm1","PSUseOutputTypeCorrectly","Information","The cmdlet 'Test-SimilarPRExists' returns an object of type 'System.Boolean' but this type is not declared in the OutputType attribute.","167","5"
"aither-core/modules/Logging/Logging.psm1","PSUseOutputTypeCorrectly","Information","The cmdlet 'Format-FileMessage' returns an object of type 'System.String' but this type is not declared in the OutputType attribute.","383","13"
"aither-core/modules/Logging/Logging.psm1","PSUseOutputTypeCorrectly","Information","The cmdlet 'Get-LogColor' returns an object of type 'System.String' but this type is not declared in the OutputType attribute.","425","19"
"aither-core/modules/Logging/Logging.psm1","PSUseOutputTypeCorrectly","Information","The cmdlet 'Get-LogColor' returns an object of type 'System.String' but this type is not declared in the OutputType attribute.","426","18"
"aither-core/modules/Logging/Logging.psm1","PSUseOutputTypeCorrectly","Information","The cmdlet 'Get-LogColor' returns an object of type 'System.String' but this type is not declared in the OutputType attribute.","427","21"
"aither-core/modules/Logging/Logging.psm1","PSUseOutputTypeCorrectly","Information","The cmdlet 'Get-LogColor' returns an object of type 'System.String' but this type is not declared in the OutputType attribute.","428","18"
"aither-core/modules/Logging/Logging.psm1","PSUseOutputTypeCorrectly","Information","The cmdlet 'Get-LogColor' returns an object of type 'System.String' but this type is not declared in the OutputType attribute.","429","19"
"aither-core/modules/Logging/Logging.psm1","PSUseOutputTypeCorrectly","Information","The cmdlet 'Get-LogColor' returns an object of type 'System.String' but this type is not declared in the OutputType attribute.","430","19"
"aither-core/modules/Logging/Logging.psm1","PSUseOutputTypeCorrectly","Information","The cmdlet 'Get-LogColor' returns an object of type 'System.String' but this type is not declared in the OutputType attribute.","431","21"
"aither-core/modules/Logging/Logging.psm1","PSUseOutputTypeCorrectly","Information","The cmdlet 'Stop-PerformanceTrace' returns an object of type 'System.Collections.Hashtable' but this type is not declared in the OutputType attribute.","548","5"
